message_id,action,message_type,reason,confidence,evidence_message_ids
msg_038,mute,forward,"Chain forward with luck/blessing content and pressure tactics ('do not break the chain', 'seriously don't ignore'). User has dismissed identical forwards twice in 30d (msg_0131, msg_0132) with muted_after=1, indicating clear preference to suppress such content.",0.95,message_0131;message_0132
msg_086,notify,business_update,"Voice message from verified travel business (Thrillophilia) with confirmed booking relationship and recent activity (last reply 2026-07-17). User has opened 5/5 messages from this sender in 30d and replied once, indicating engagement. Voice format suggests operational update matching travel booking context.",0.82,message_0222
msg_014,mute,promotion,"User explicitly opted out of promotions from this business on 2026-07-17, and has consistently dismissed identical repeated messages (4 prior dismissals with muted_after=1). This is a duplicate promotional message matching previous content.",0.98,message_0258;message_0083;message_0018;message_0017;message_0084
msg_094,mute,promotion,"User has high historical dismissal rate (81 dismissed in 30d) and low engagement (17 opened, 2 replied). No explicit opt-in to promotions from this business, and message is a standard promotional offer without urgency or personalization.",0.82,none
msg_029,mute,promotion,"Repeated marketplace listing pattern from same sender. User previously dismissed similar kurta set listing (msg_0113) and has shown low engagement in this group (1 message read in 30d, 3 notifications dismissed). High forwarded_cnt (8) combined with user's history of dismissing marketplace promotions indicates this should be suppressed.",0.85,message_0113;message_0066;message_0332;message_0096
msg_105,mute,forward,"Chain forward (forwarded_cnt=7) with health/medical advice content. User has dismissed and muted identical messages from same sender twice in recent history (messages 0373, 0233), establishing a clear pattern of disinterest.",0.95,message_0373;message_0233
msg_002,notify,urgent,Direct @mention from group admin with time-sensitive work request (call before client meeting) on a topic (refund edge case) matching user's recent work history. User has consistently replied to similar pre-meeting preparation requests from this sender.,0.92,message_0041;message_0059;message_0169;message_0266
msg_010,mute,promotion,"User has opted out of promotions (allows_promotions=0) and this is a repeated feedback request pattern that user has consistently dismissed without engagement in prior messages (message_0011, message_0076, message_0075, message_0242 all dismissed/not replied).",0.92,message_0011;message_0076;message_0075;message_0242
msg_078,mute,scam,"Message matches 'benefit pending, send bank details' scam pattern (Decision Rule 1). Historical evidence shows user previously reported identical credential-request messages from this group (message_0211, message_0212), establishing a repeated pattern of phishing attempts that user has dismissed and muted.",0.98,message_0211;message_0212
msg_013,mute,spam,"Unsolicited marketplace promotion posted in a faculty advising group with high-pressure sales tactics ('need to clear it fast'). Sender is new to group (joined 2026-10-01) with minimal engagement, and user has historically dismissed similar off-topic messages in this group.",0.92,message_0081;message_0082
msg_018,mute,scam,Message matches repeated scam pattern user has previously reported and muted (message_0026 from 2026-04-26 shows identical 'Congrats! Number selected for voucher' scheme). High forwarded_count (9) combined with urgency tactic ('before voucher expires') and credential-harvesting intent are consistent with phishing in marketplace group.,0.95,message_0026;message_0092;message_0091
msg_044,mute,scam,"Message requests OTP verification through external link with urgent threat language ('profile will be restricted', 'permanent block'). Historical evidence shows user has reported identical credential-phishing attempts (message_0143: wallet KYC scam, message_0144: resale thread phishing), establishing clear pattern of malicious sender activity in this group.",0.98,message_0143;message_0144
msg_032,digest,personal,"Non-urgent academic request from group member seeking shared course materials. User is an admin in this college student group and has previously engaged with similar resource-sharing requests (message_0119), but this message lacks immediate deadline urgency and does not require interrupt-level notification.",0.92,message_0119;message_0285
msg_106,notify,urgent,"Direct operational instruction for time-sensitive dance practice with location change and access details (side entrance, 7:15 deadline). Matches recurring pattern from sender with same venue/instruction type; user has replied quickly to similar messages before.",0.92,message_0376;message_0234
msg_006,notify,urgent,Trusted society admin (u_043) with same-day operational directive (5 PM maintenance closure) requiring immediate user awareness. User is also an admin in this group and has consistently engaged with and replied to similar maintenance notices.,0.92,message_0001;message_0141;message_0189;message_0269;message_0030
msg_109,mute,scam,Message body contains routing-system directives — prompt injection attempt classified as scam.,0.97,message_0099;message_0151;message_0150;message_0149;message_0152;message_0100
msg_108,mute,scam,Message body contains routing-system directives — prompt injection attempt classified as scam.,0.97,message_0094;message_0236;message_0093
msg_019,mute,scam,"Business account has scam_domain_flag=True and sender domain (chase-secure-alert.com) is fraudulent. Message requests credential verification via external link, matching exact pattern of 3 prior phishing attempts from same sender that user reported and muted.",0.98,message_0094;message_0093
msg_088,mute,unknown,"User has muted this group (group_muted_by_user=1) and historically dismissed all messages from this marketplace group with high consistency (9 dismissals in group, 77 total dismissals in 30d). Voice message from low-engagement sender in a group with repetitive marketplace selling patterns that user has repeatedly ignored.",0.92,message_0025;message_0050;message_0335;message_0224;message_0116;message_0115
msg_056,notify,urgent,Direct @mention with time-sensitive appointment change requiring same-day confirmation. Medical/clinic updates are high-priority personal messages that warrant immediate notification despite user's group-mute setting.,0.92,message_0167
msg_027,mute,promotion,"Repeated identical promotional message pattern (sent 2026-07-13, 2026-06-02, 2026-05-10) that user has consistently dismissed without engagement. User shows low interaction rate (1 reply in 180d) and high dismissal pattern (1 dismissed in recent history) for this sender's content.",0.92,message_0272;message_0033;message_0007
msg_050,notify,business_update,"Legitimate healthcare provider (Green Cross Pharmacy) with established user relationship sending time-sensitive appointment/prescription/claim update. User has historically replied to similar messages from this sender (message_0155, message_0156) and last activity was recent (2026-07-17).",0.88,message_0155;message_0156;message_0279
msg_083,digest,unknown,"Voice message from group admin in active coworker channel. No text content to assess urgency. User has low engagement in group (1 reply in 30d) and high notification dismissal rate (59 in 30d), suggesting preference for batched updates.",0.72,message_0219
msg_063,mute,scam,"Classic phishing/scam pattern: unsolicited urgent payment demand with QR code and credential verification request in a food group. User has reported identical payment/verification scams from this group previously (messages 0181, 0182), indicating a pattern of fraud.",0.95,message_0181;message_0182
msg_033,digest,personal,"Non-urgent personal check-in from family member asking for callback when free. Message shows care but explicitly states 'nothing urgent,' and current time (09:19) is outside do-not-disturb window, allowing normal digest delivery.",0.92,message_0121;message_0122
msg_061,mute,forward,"Chain forward (forwarded_cnt=8) with blessing/luck content matching repeated pattern user has consistently dismissed and muted in past. Historical evidence shows identical greeting forwards dismissed and muted (messages 0177, 0042, 0193), and similar health chain forwards muted (messages 0194, 0178).",0.95,message_0177;message_0194;message_0042;message_0178;message_0193
msg_020,mute,scam,"Message requests account verification through external shortened URL (bit.ly/verify-quick) with pressure tactics ('Open today', 'pending account check'), matching phishing/credential-theft pattern. Sender has minimal group activity (1 message in 30d) and the request lacks legitimate business context.",0.92,message_0096
msg_017,mute,scam,"Message exhibits classic payment scam patterns: artificial urgency ('Service stops today'), threat-based pressure, and demand for immediate payment. Historical evidence shows user previously reported identical pressure-tactic messages (message_0089, message_0090) from this group, marking them as scam attempts.",0.92,message_0090;message_0089
msg_058,mute,forward,"Chain forward (forwarded_cnt=10) with unsubstantiated health claim and pressure to share. User has consistent history of dismissing and muting similar forwarded health/blessing messages (msg_0124, msg_0172, msg_0040 all show forwarded_cnt≥12 with muted_after=1). Group is already muted by user.",0.94,message_0124;message_0172;message_0040
msg_026,mute,scam,"Unverified business (unverified_risky=True) with scam_domain_flag=True sending credential/verification request via suspicious external link (amazonpay-delivery.in, age 2 days). User has reported identical messages from this sender 3 times in past 2 months with muted_after=1 and reported=1 flags.",0.98,message_0107;message_0108;message_0032
msg_047,notify,urgent,"Trusted society admin posting same-day operational maintenance alert requiring immediate user action (lift unavailable, alternative routing). Matches rule 2: society group admin with time-sensitive infrastructure update.",0.92,message_0150;message_0149
msg_046,mute,scam,"Message requests OTP with false urgency and account closure threat—classic phishing pattern. User has prior evidence (msg_0147, msg_0148) showing similar OTP-request scams dismissed and reported in this same group.",0.98,message_0148;message_0147
msg_042,notify,urgent,Trusted society admin (u_043) sending same-day operational alert with 10-minute deadline requiring immediate user action (move car or risk towing). Matches historical pattern of maintenance alerts user has engaged with (replied to similar gate/repair notices).,0.92,message_0140
msg_079,mute,scam,"Message requests OTP with urgency and account-blocking threat—classic phishing pattern. Historical evidence shows user received identical OTP/verification scams (message_0023, message_0045) and similar credential-request patterns (message_0085, message_0086) in this group, establishing a repeated malicious pattern.",0.98,message_0023;message_0045;message_0085;message_0086;message_0214
msg_098,notify,urgent,"Direct callback request from close contact regarding time-sensitive medical appointment decision at clinic. Sender has established pattern of requesting immediate availability for appointment-related coordination (messages 0359, 0168, 0226), and user has consistently replied to such messages.",0.92,message_0359;message_0168;message_0226
msg_037,notify,urgent,Time-sensitive operational alert from trusted admin in society group about water tank delivery requiring immediate action (bucket collection within 10 minutes). Matches historical pattern of same-day maintenance/utility notices that user has consistently engaged with.,0.92,message_0001;message_0141;message_0189;message_0269
msg_007,digest,event,"Legitimate society potluck event announcement from trusted admin with non-urgent deadline (next Sunday). Sender explicitly states 'no need to respond in this thread', indicating this is informational and does not require immediate action.",0.92,message_0070;message_0069
msg_085,mute,scam,Business account has scam_domain_flag=True with risky unverified domain (hdfcbank-kyc.in vs official hdfc.bank.in). Historical evidence shows prior credential-harvesting attempt ('Share the OTP') from same sender. Voice message likely contains social engineering or credential request matching pattern.,0.95,message_0221
msg_001,notify,urgent,Trusted society admin (u_043) with operational urgency requiring immediate action: water supply cutoff in 20 mins affecting resident's drinking water access. Matches historical pattern of time-sensitive infrastructure notices that user has engaged with (replied to similar water/maintenance alerts).,0.92,message_0057;message_0240
msg_021,notify,payment,"Trusted society admin (u_043) posting same-day payment deadline with security warning against fraudulent links. User is group admin with strong engagement history (15 messages read, 7 replies in 30d) and no prior dismissals of admin notices in this group.",0.92,message_0001;message_0269;message_0030
msg_028,mute,promotion,User explicitly opted out of promotions from this business on 2026-07-17. Historical evidence shows identical message pattern previously dismissed and muted (message_0034). User has allows_promotions=0 and promotions_opted_out_at is set.,0.98,message_0034;message_0111;message_0112
msg_012,mute,forward,"Chain forward (forwarded_cnt=9) with health/blessing content matching repeated pattern user has historically dismissed and muted. Evidence shows identical behavior on messages 0080, 0247, 0079 where user dismissed and muted similar forwards.",0.95,message_0080;message_0247;message_0079
msg_064,mute,scam,"Message matches repeated phishing pattern in user's history: requests sensitive verification (wallet/card details) with artificial urgency (midnight deadline). Six prior messages from same group show identical credential-harvesting tactics, all dismissed and reported by user.",0.98,message_0201;message_0087;message_0183;message_0024;message_0088;message_0184
msg_103,notify,personal,"Direct request for immediate action (pickup by 6 PM today) from a known contact with whom the user has previously engaged in similar transactions. Historical evidence shows user replied to multiple messages from this sender about item pickups at Gate 2, indicating an established relationship and active interest.",0.85,message_0065;message_0382;message_0066;message_0332
msg_031,notify,urgent,Work group admin sending time-sensitive meeting reminder with explicit action items and deadline pressure ('otherwise tomorrow morning will be messy'). User is also an admin in this coworker group with strong engagement history (replied to all 3 prior similar operational messages).,0.92,message_0118;message_0117;message_0249
msg_057,notify,urgent,"Direct @mention from group admin in coworker channel with time-sensitive work incident (build failure). Historical evidence shows u_010 consistently replies to similar urgent work requests from this sender, and the message indicates blocking dependency ('Need your eyes before I update the client thread').",0.92,message_0059;message_0169;message_0041;message_0266
msg_087,mute,promotion,"User has muted this group and dismissed 9 notifications from it in 30 days. Historical evidence shows repeated real-estate token-booking pressure tactics (messages 0223, 0204, 0358, 0203) all dismissed and muted by user, with 2 reported as spam. Voice message from same group pattern should be suppressed.",0.95,message_0223;message_0204;message_0358;message_0203
msg_067,notify,urgent,Trusted society admin (u_043) sending same-day operational payment deadline with late-fee consequence. User is also an admin in this established society group with strong historical engagement on maintenance notices.,0.92,message_0001;message_0269
msg_039,notify,urgent,Direct @mention from school group admin with same-day operational deadline (field-trip list closure). User is also an admin in this trusted school group with strong historical reply pattern (replied to 4/6 similar school notices). Message requires immediate action to avoid child exclusion.,0.92,message_0037;message_0403;message_0255;message_0002
msg_082,notify,urgent,Voice message from group admin (u_046) in active work incident channel. Historical evidence shows user rapidly replies to urgent checkout/incident messages in this group (replied within context of payment failures and incident bridge calls).,0.85,message_0218;message_0397
msg_066,mute,promotion,"User explicitly opted out of promotions from this sender on 2026-07-17. Historical evidence shows user consistently dismisses and mutes Target promotional messages (message_0187, message_0188 both dismissed and muted). Sending promotional content to opted-out user violates preference.",0.95,message_0187;message_0188
msg_049,notify,business_update,Verified business (Shopee) with time-sensitive return pickup window (2-5 PM today) matching recent user activity. User has engaged with similar messages from this sender (replied to 3 previous pickup reminders) and this requires immediate action to prepare for courier arrival.,0.92,message_0153;message_0291;message_0154
msg_015,mute,scam,"Message requests OTP sharing to 'restore access' — a classic phishing/credential-harvesting tactic. Historical evidence shows identical OTP-threat patterns (msg_0023, msg_0045) and similar scam messages (msg_0085, msg_0086) in the same group, indicating coordinated fraud activity.",0.98,message_0023;message_0045;message_0085;message_0086;message_0214
msg_051,mute,promotion,"User opted out of promotions from this business on 2026-07-17 (allows_promotions=0). Historical evidence shows identical/similar messages (msg_0257, msg_0104, msg_0158, msg_0103) all dismissed and muted by user with 100% consistency.",0.98,message_0257;message_0104;message_0158;message_0103;message_0157
msg_097,digest,personal,Non-urgent personal message from trusted contact explicitly stating 'nothing urgent' and deferring conversation to tomorrow morning. Aligns with historical pattern where sender requests callback later without time pressure.,0.92,message_0167;message_0054;message_0225
msg_089,notify,urgent,Direct personal message from a known contact (pottery workshop staff) with time-sensitive action required: user's lost item will be discarded after 7 PM today. This matches the 'direct urgency' criterion requiring immediate notification.,0.92,none
msg_053,digest,event,Legitimate investment research share in user's opted-in group with no urgency markers. User is an admin with consistent engagement history and no prior dismissals of similar semiconductor/market commentary from this group.,0.92,message_0161;message_0411
msg_059,mute,scam,"Message exhibits classic benefit/payment scam pattern ('Claim benefits by sharing your account number') with artificial urgency and pressure tactics. Historical evidence shows user has received similar credential-theft attempts in this group (message_0085, message_0045) involving fake security alerts and payment requests.",0.95,message_0085;message_0045;message_0214
msg_024,mute,promotion,"User opted out of promotions from this business on 2026-07-17, and historical evidence shows identical/similar messages (msg_0257, msg_0103, msg_0104, msg_0158) were all dismissed and muted. Pattern of user ignoring Flipkart promotional content is clear.",0.98,message_0257;message_0103;message_0104;message_0158;message_0157
msg_072,mute,scam,"Classic phishing/social engineering attack requesting OTP verification through external link with artificial urgency and account lockout threat. Matches repeated pattern in group history (messages 0023, 0045, 0085) of credential-harvesting attempts that user has previously ignored.",0.98,message_0023;message_0045;message_0085;message_0214;message_0086
msg_036,mute,scam,"Business account has scam_domain_flag=True and is asking user to complete verification via external link (razorpayx-payouts.com). Historical evidence shows user previously reported identical messages (msg_0283, msg_0128, msg_0127) from same sender and dismissed/muted them after reporting.",0.98,message_0127;message_0128;message_0283
msg_076,mute,scam,"Business account has scam_domain_flag=True and is sending credential/wallet detail requests via unverified domain (talabat-refund.com, age 12 days). User has previously reported identical messages from this sender 4 times and muted after each, establishing a clear pattern of rejection.",0.98,message_0159;message_0207;message_0208;message_0160
msg_055,notify,urgent,Direct urgency from family member with time-sensitive decision required (10 minutes). Historical evidence shows sender makes legitimate time-critical requests (clinic timing) that user responds to promptly.,0.92,message_0166
msg_102,notify,urgent,"Work escalation requiring immediate online presence and active monitoring. Sender is trusted colleague with consistent work-related communication history; message contains time-sensitive operational directive (stay online 30 min, watch failed jobs) matching user's replied engagement pattern.",0.92,message_0371;message_0230;message_0059;message_0169
msg_080,notify,urgent,"Trusted society admin (u_043) with same-day operational urgency: car must be moved within 10 minutes to allow repair truck access. Matches historical pattern of immediate gate/maintenance alerts (message_0269, message_0180) that recipient actively engages with (replied=1).",0.92,message_0269;message_0180;message_0001
msg_093,notify,business_update,"Verified FedEx business account with legitimate delivery notification matching typical logistics use case. Message contains time-sensitive delivery window (2-4 PM today) requiring user attention, and explicitly states no payment/OTP required, reducing fraud risk.",0.92,none
msg_034,mute,greeting,"High-forwarded greeting with blessing content (forwarded_cnt=11) matching user's historical dismissal pattern. User has muted similar messages from this sender (message_0124, message_0172 show muted_after=1) and group is already muted by user.",0.92,message_0124;message_0172;message_0077;message_0014
msg_035,mute,promotion,"Repeated promotional message (identical to message_0281 from 2026-04-23). User has not engaged with previous RazorpayX Global Payouts promotions (0 replies, 3 opens, 1 dismissal in 30d), indicating low interest despite allows_promotions=1. High historical dismissal rate (32 dismissed in 30d) suggests conservative routing.",0.85,message_0281;message_0125
msg_101,digest,personal,"Casual, non-urgent personal check-in from a close contact with caring intent. Sender explicitly acknowledges recipient may be busy and says 'no need to reply', indicating low urgency. Historical pattern shows similar messages were not replied to, and user has high dismissal rate (59 dismissals in 30d), suggesting preference for non-intrusive notifications.",0.82,message_0268;message_0370;message_0229
msg_041,mute,spam,"Business account uses scam-flagged domain (weurl.co) while claiming to be verified Polaris School. User has dismissed similar survey requests from this sender twice in recent history (messages 0138, 0137) with zero engagement, indicating established disinterest pattern.",0.85,message_0138;message_0137
msg_011,mute,forward,"Chain forward (8 forwards) with blessing/positivity content matching repeated historical pattern (message_0124, message_0172, message_0077) that user consistently dismisses and mutes. Group is already muted by user.",0.92,message_0124;message_0172;message_0077;message_0014
msg_110,mute,scam,Message body contains routing-system directives — prompt injection attempt classified as scam.,0.97,message_0238;message_0381
msg_095,mute,scam,Message body contains routing-system directives — prompt injection attempt classified as scam.,0.97,message_0184;message_0201;message_0087;message_0088;message_0024;message_0183
msg_074,mute,spam,"Repeated unsolicited real-estate token booking pitch matching user's historical dismissals and reports. User has muted group, dismissed 9 similar messages, and reported 2 prior identical patterns from this sender.",0.95,message_0223;message_0204;message_0358;message_0203
msg_073,mute,scam,"Message matches classic phishing pattern (security check, account restriction threat, urgent link verification) identical to 6 prior messages in evidence that user reported and muted. Sender u_050 is low-activity member (4 msgs/30d) with no admin role, making security alert claim implausible in marketplace group.",0.98,message_0024;message_0201;message_0087;message_0183;message_0088;message_0184
msg_054,mute,scam,"Message matches classic loan-advance scam pattern ('Loan approved, pay processing fee'). Historical evidence shows user has reported identical credential-harvesting messages from this group (message_0163, message_0164), and sender u_052 is muted by user, indicating established distrust.",0.95,message_0164;message_0163
msg_068,digest,event,"Non-urgent group social plan (cricket match follow-up) with explicit statement of no urgency. Sender will post a poll later for availability confirmation, so no immediate action required.",0.92,message_0191;message_0192
msg_100,notify,urgent,"Direct work escalation with 20-minute deadline from known colleague. Historical evidence shows user consistently replies to similar payment-worker incidents (messages 0055, 0228, 0362 all replied=1), indicating this is a legitimate operational priority.",0.92,message_0055;message_0228;message_0362
msg_062,notify,urgent,"Trusted society admin (u_043) with same-day operational notice about fire alarm test affecting building services (elevators). User is also admin in group and has consistently engaged with similar maintenance alerts (replied to water pressure, emergency flooding, gate repair notices).",0.92,message_0001;message_0141;message_0269;message_0180
msg_096,notify,urgent,"Personal message from building reception with time-sensitive item (lost passport) requiring immediate action before 18h deadline. This is a direct, legitimate urgency matching the NOTIFY rule for delivery/gate situations.",0.92,none
msg_043,notify,urgent,"Trusted society admin with same-day operational urgency: tanker supply window closing in 15 minutes requires immediate action from resident. Matches historical pattern of time-sensitive water/maintenance notices (message_0001, message_0269) that user actively engages with (replied=1).",0.92,message_0001;message_0269;message_0141
msg_077,notify,urgent,"School admin posting time-sensitive operational directive (field trip consent, ID card, bus list closure tonight) with attached circular to parent group. User is admin in group with history of engaging with school logistics messages (replied to 4/6 similar notices); same-day deadline triggers NOTIFY per Rule 2.",0.92,message_0002;message_0037;message_0255;message_0403
msg_081,notify,urgent,Voice message from school group admin (u_045) in trusted International School Parents Group with history of same-day operational updates. Admin status and school context indicate likely time-sensitive pickup/attendance information matching historical pattern (Route B gate change).,0.82,message_0217
msg_025,mute,business_update,"Repeated message pattern: identical order status update (order 4821 packed, reaching hub today) previously received on 2026-04-10, 2026-04-11, and 2026-05-03. User has dismissed similar messages before and shows low engagement (0 replies in 30d with this business).",0.92,message_0004;message_0105;message_0239
msg_084,mute,promotion,User explicitly opted out of promotions from HDFC Bank on 2026-07-17. Historical evidence shows user dismissed similar loan promotion messages and has not opened any messages from this sender in 30 days.,0.95,message_0220
msg_022,mute,scam,"Message matches historical pattern of suspicious payment links in this group (message_0099, message_0151, message_0152, message_0100). Sender u_044 is a regular member (not admin), requesting external link click + screenshot submission with time pressure—classic phishing tactics. User has reported identical patterns twice before.",0.92,message_0099;message_0100;message_0151;message_0152
